num	Treatment	Id	GE
1	control	3A4	0.932506887
6	control	6B5	0.615126293
16	control	5C2	0.280722748
17	control	3A3	1.230307226
18	control	3C4	0.596438357
26	control	3C3	0.471094528
35	control	4B3 	0.539060943
41	control	1A3	0.477286977
14	environmental	6A6	0.45967618
21	environmental	7B1	2.948132167
22	environmental	2B4	1.548470885
23	environmental	5D2	1.389724648
28	environmental	2D1	0.526938104
30	environmental	5C6	0.522852602
33	environmental	5D4	0.262877782
9	sublethal	2A5	2.049830253
15	sublethal	1C3	1.043011134
24	sublethal	5C3	0.461078323
27	sublethal	12B3	0.644947131
37	sublethal	6C1 	0.265239727
38	sublethal	1A1 	3.140468652
39	sublethal	2A1 	0.141985942
