num	condition	trial	arena	ind	treatment	distance_total	size_j7	relative_tot_dist	velocity_mean	velocity_max	acceleration_max	mobility_mean	mobility_total	frequency_inzone	duration_inzone
1	dark 	2	1	4A3	control	950.018	6.554	144.9523955	1.58336	6.87962	98.6663	44.9813	674539	89	32.24
2	dark 	2	2	3A2	control	148.063	6.802	21.76756836	0.246771	3.86755	87.3248	9.4013	140982	18	8.28
3	dark 	6	1	1A3	control	82.1208	6.1465	13.36057919	0.13685	5.48046	93.8887	4.46837	67016.6	17	11.363
4	dark 	6	2	3A3	control	156.971	5.773	27.19054218	0.261687	8.36757	88.503	9.2439	138585	32	17.2046
5	dark 	6	3	3A1	control	131.954	6.314	20.89863795	0.219893	3.91586	48.8342	7.00721	105094	24	17.8448
6	dark 	6	4	3A4	control	32.3518	5.9715	5.417700745	0.0539124	6.82788	113.441	1.86263	27935.7	1	1.04028
7	dark 	7	1	3B6	control	476.866	6.2655	76.10980768	0.794777	7.6982	131.822	20.4765	307065	52	22.16
8	dark 	7	2	3C2	control	404.779	5.934	68.21351534	0.674632	8.22111	110.816	21.1651	317391	32	8.44
9	dark 	7	3	3C3	control	408.74	6.125	66.73306122	0.681369	8.10038	118.625	22.2272	333252	43	16.92
10	dark 	7	4	3C4	control	409.603	6.342	64.58577736	0.682672	6.61042	118.259	22.7069	340513	20	9.52
11	dark 	10	1	2D6	control	355.964	5.2445	67.87377252	0.593273	6.58152	120.07	18.8617	282851	40	19.16
12	dark 	10	2	5C2	control	344.673	5.4595	63.13270446	0.574456	7.28261	113.096	18.6147	279145	42	13.24
13	dark 	10	3	6B5	control	341.329	5.4135	63.05144546	0.568881	4.94466	70.2571	19.1252	286802	31	17.32
14	dark 	11	1	4B1	control	416.681	5.037	82.72404209	0.694468	5.21491	83.9739	23.3664	350403	53	34.04
15	dark 	14	1	7C5	control	218.802	6.8756	31.82296818	0.364669	6.46486	126.71	12.2843	184215	22	18
16	dark 	14	2	3C1	control	202.646	6.734	30.09296109	0.337743	4.63721	72.2489	13.0527	195738	25	17.52
17	dark 	14	3	4B2	control	101.952	6.183	16.48908297	0.16992	6.13632	105.855	6.73375	100979	14	11.04
18	dark 	14	4	4B3	control	382.319	5.405	70.73432007	0.637199	7.61807	105.945	19.9874	299731	70	31.96
19	dark 	15	1	6B4	control	372.915	5.9	63.2059322	0.621525	6.59801	155.788	20.8425	312554	36	24.2
20	dark 	15	2	6C2	control	254.605	5.1485	49.45226765	0.424341	6.37876	105.05	15.5461	233130	27	12.84
