NUM	ind_egg	treatment	j1(mm)	j7(mm)	growth_factor_j1j7(cm)
27	4A3	control	5.2885	6.554	1.239292805
28	3A2	control	5.5215	6.802	1.231911618
29	1A3	control	5.0385	6.1465	1.219906718
30	3A1	control	5.127	6.314	1.231519407
31	3A4	control	4.918	5.9715	1.214213095
32	3A3	control	5.1135	5.773	1.128972328
33	3B6	control	5.477	6.2655	1.143965675
34	3C2	control	5.299	5.934	1.119833931
35	3C3	control	5.2645	6.125	1.163453319
36	3C4	control	5.395	6.342	1.175532901
37	2D6	control	5.059	5.2445	1.036667326
38	5C2	control	4.9095	5.4595	1.112027701
39	6B5	control	4.9775	5.4135	1.087594174
40	4B1	control	4.675	5.037	1.077433155
41	7C5	control	5.4935	6.8756	1.251588241
42	3C1	control	5.466	6.734	1.23197951
43	4B2	control	5.1535	6.183	1.199767149
44	4B3	control	4.832	5.405	1.118584437
45	6B4	control	5.6255	5.9	1.048795663
46	6C2	control	4.767	5.1485	1.080029369
47	6C3	control	5.0715	5.3435	1.053633047
84	12B5	control	5.526	6.053	1.095367354
85	12C4	control	5.5295	5.962	1.078216837
86	7A2	control	5.6245	5.9925	1.065428038
87	7A3	control	5.79	6.239	1.077547496
88	7C1	control	5.5315	5.6235	1.016632017
89	7C2	control	5.2735	6.2195	1.179387504
90	8A3	control	5.529	5.842	1.056610599
91	10A5	control	5.4275	5.692	1.048733303
92	10B4	control	5.017	5.8525	1.166533785
93	10C4	control	5.2275	5.7135	1.092969871
94	10C5	control	5.413	6.451	1.191760576
95	1A6	control	4.8765	5.341	1.095252743
96	1C4	control	5.1815	5.653	1.090996816
97	2A4	control	5.2205	6.384	1.222871372
98	9A5	control	5.6065	6.295	1.122803888
99	12B6	control	5.5435	5.834	1.052403716
100	7B6	control	5.04	5.726	1.136111111
101	11D2	control	5.962	6.0385	1.012831265
48	5C6	environmental	5.2505	5.9845	1.13979621
49	2C4	environmental	5.218	5.2985	1.015427367
50	2D1	environmental	5.4275	5.6435	1.039797328
51	2D3	environmental	5.377	5.7465	1.068718616
52	3A5	environmental	5.185	5.3265	1.02729026
53	3C6	environmental	5.339	5.7335	1.073890242
54	3D1	environmental	5.37	6.1755	1.15
55	3D2	environmental	5.1815	5.321	1.026922706
56	3D3	environmental	5.004	5.489	1.096922462
57	5D1	environmental	5.4545	5.975	1.095425795
58	5D2	environmental	4.78	5.2525	1.098849372
59	6B6	environmental	4.86	5.09	1.047325103
60	2B4	environmental	5.659	5.937	1.049125287
61	3B3	environmental	5.199	5.91	1.136757069
62	7B1	environmental	5.61	6.2575	1.115418895
63	5D4	environmental	4.7625	5.1635	1.084199475
64	6A6	environmental	5.1445	5.495	1.068131014
65	6B3	environmental	5.2545	5.848	1.112950804
102	5C1	environmental	4.885	4.955	1.01432958
103	1A5	environmental	5.6265	5.9585	1.059006487
104	12A1	environmental	5.271	5.3695	1.018687156
105	12B4	environmental	5.475	5.908	1.079086758
106	8A4	environmental	4.4405	5.187	1.168111699
107	8A5	environmental	4.8895	5.7995	1.186113099
108	8A6	environmental	4.883	5.5885	1.144480852
109	9A2	environmental	5.519	5.9375	1.075828955
110	10C6	environmental	5.18	6.3265	1.221332046
111	10D2	environmental	5.381	5.9215	1.100446014
112	11A3	environmental	5.7565	6.3015	1.094675584
113	11A5	environmental	5.592	6.019	1.076359084
114	2C5	environmental	5.054	5.1005	1.009200633
115	2D2	environmental	4.7755	5.3855	1.127735316
116	2D5	environmental	4.747	5.3885	1.135137982
117	3C5	environmental	5.0605	5.6075	1.108092086
118	10C1	environmental	5.2835	6.6035	1.24983439
119	12C3	environmental	5.4775	6.059	1.10616157
120	10A2	environmental	5.878	6.089	1.035896563
66	1C2	sublethal	5.3385	5.908	1.106677906
67	1C3	sublethal	5.586	6.0305	1.079573935
68	3B1	sublethal	5.0495	5.064	1.002871571
69	3D4	sublethal	5.085	5.83	1.146509341
70	6C1	sublethal	4.893	5.201	1.062947067
71	5C3	sublethal	5.012	5.826	1.162410215
72	2B6	sublethal	5.9375	6.3585	1.070905263
73	1A1	sublethal	5.213	5.5845	1.071264147
74	1C5	sublethal	5.7525	5.9605	1.036158192
75	1D2	sublethal	5.304	5.3405	1.006881599
76	2A5	sublethal	5.055	5.8975	1.166666667
77	5A2	sublethal	5.4365	5.6155	1.032925596
78	5A3	sublethal	4.551	4.8945	1.075477917
79	2A1	sublethal	5.391	5.787	1.07345576
80	2B3	sublethal	5.745	5.8125	1.011749347
81	2B5	sublethal	5.281	5.6195	1.064097709
82	12B3	sublethal	5.3965	5.905	1.09422774
83	11B3	sublethal	6.0655	6.3095	1.040227516
121	11A4	sublethal	5.528	6.2295	1.126899421
122	12A3	sublethal	5.781	6.4985	1.124113475
123	10B2	sublethal	5.8265	5.886	1.010211963
124	10A6	sublethal	5.5595	6.025	1.083730551
125	12B1	sublethal	5.639	5.645	1.001064018
126	11B1	sublethal	5.835	5.9755	1.024078835
127	11B6	sublethal	5.4445	5.821	1.069152356
128	12B2	sublethal	5.544	5.755	1.038059163
129	11C5	sublethal	5.7675	5.845	1.013437365
130	11D1	sublethal	5.364	6.348	1.18344519
131	11D6	sublethal	5.7835	6.4375	1.113080315
132	12A4	sublethal	5.615	6.446	1.147996438
