number	trial	arena	tapping	ind	treatment	total_distance
2	21	1	1	12B5	control	0.0177151
3	21	1	2	12B5	control	0.0127958
4	21	1	3	12B5	control	0.0124195
5	21	1	4	12B5	control	0.00705683
6	21	1	5	12B5	control	0.0063369
7	21	1	6	12B5	control	0.0113441
8	21	1	7	12B5	control	0.0135593
9	21	1	8	12B5	control	0.0076445
10	21	1	9	12B5	control	0.707413
11	21	1	10	12B5	control	0.571677
12	21	1	11	12B5	control	1.71735
13	21	1	12	12B5	control	1.43445
14	21	1	13	12B5	control	1.32276
15	21	1	14	12B5	control	0.980184
16	21	1	15	12B5	control	0.0262601
17	21	1	16	12B5	control	0.515075
18	21	1	17	12B5	control	0.0141918
19	21	1	18	12B5	control	0.0105066
20	21	1	19	12B5	control	0.00348428
21	21	1	20	12B5	control	0.00455211
22	21	1	21	12B5	control	0.00607552
23	21	1	22	12B5	control	0.00836905
24	21	1	23	12B5	control	0.00619319
25	21	1	24	12B5	control	0.00388518
26	21	1	25	12B5	control	0.0106351
27	21	1	26	12B5	control	0.00477421
28	21	1	27	12B5	control	0.01044
29	21	1	28	12B5	control	0.0113924
30	21	1	29	12B5	control	0.0167483
31	21	1	30	12B5	control	0.012603
32	21	1	31	12B5	control	0.0190311
33	21	1	32	12B5	control	0.0155271
34	21	1	33	12B5	control	0.0149292
35	21	1	34	12B5	control	0.0186344
36	21	1	35	12B5	control	0.0152577
37	21	1	36	12B5	control	0.0153914
38	21	1	37	12B5	control	0.0218911
39	21	1	38	12B5	control	0.0167425
40	21	1	39	12B5	control	0.0190475
42	21	2	1	12C4	control	1.64425
43	21	2	2	12C4	control	1.1807
44	21	2	3	12C4	control	0.561824
45	21	2	4	12C4	control	0.748743
46	21	2	5	12C4	control	1.08866
47	21	2	6	12C4	control	0.0293249
48	21	2	7	12C4	control	1.28868
49	21	2	8	12C4	control	0.785014
50	21	2	9	12C4	control	0.716708
51	21	2	10	12C4	control	0.187005
52	21	2	11	12C4	control	0.683598
53	21	2	12	12C4	control	0.805044
54	21	2	13	12C4	control	0.989487
55	21	2	14	12C4	control	0.0253927
56	21	2	15	12C4	control	0.0093778
57	21	2	16	12C4	control	0.693926
58	21	2	17	12C4	control	0.0191635
59	21	2	18	12C4	control	0.00187456
60	21	2	19	12C4	control	0.00933353
61	21	2	20	12C4	control	0.757137
62	21	2	21	12C4	control	0.89025
63	21	2	22	12C4	control	0.415301
64	21	2	23	12C4	control	1.08459
65	21	2	24	12C4	control	0.776817
66	21	2	25	12C4	control	0.0493541
67	21	2	26	12C4	control	0.007366
68	21	2	27	12C4	control	0.00217362
69	21	2	28	12C4	control	0.528803
70	21	2	29	12C4	control	0.0139706
71	21	2	30	12C4	control	0.455962
72	21	2	31	12C4	control	0.731656
73	21	2	32	12C4	control	1.06501
74	21	2	33	12C4	control	0.0547543
75	21	2	34	12C4	control	0.0110017
76	21	2	35	12C4	control	0.0186571
77	21	2	36	12C4	control	0.0241984
78	21	2	37	12C4	control	0.197632
79	21	2	38	12C4	control	0.0211424
80	21	2	39	12C4	control	0.0218439
82	21	3	1	7A2	control	2.49452
83	21	3	2	7A2	control	4.31343
84	21	3	3	7A2	control	4.42623
85	21	3	4	7A2	control	3.72171
86	21	3	5	7A2	control	4.11729
87	21	3	6	7A2	control	3.03706
88	21	3	7	7A2	control	3.79919
89	21	3	8	7A2	control	3.36514
90	21	3	9	7A2	control	3.18715
91	21	3	10	7A2	control	1.13157
92	21	3	11	7A2	control	0.0113214
93	21	3	12	7A2	control	0.00352925
94	21	3	13	7A2	control	0.00553767
95	21	3	14	7A2	control	0.00190396
96	21	3	15	7A2	control	0.00600645
97	21	3	16	7A2	control	1.69697
98	21	3	17	7A2	control	1.44336
99	21	3	18	7A2	control	1.57614
100	21	3	19	7A2	control	0.64247
101	21	3	20	7A2	control	1.79197
102	21	3	21	7A2	control	2.62845
103	21	3	22	7A2	control	2.68609
104	21	3	23	7A2	control	3.43966
105	21	3	24	7A2	control	2.66028
106	21	3	25	7A2	control	2.88775
107	21	3	26	7A2	control	2.73698
108	21	3	27	7A2	control	2.48866
109	21	3	28	7A2	control	2.72018
110	21	3	29	7A2	control	1.24579
111	21	3	30	7A2	control	0.0254512
112	21	3	31	7A2	control	0.00699566
113	21	3	32	7A2	control	1.30569
114	21	3	33	7A2	control	3.04254
115	21	3	34	7A2	control	3.49341
116	21	3	35	7A2	control	2.37029
117	21	3	36	7A2	control	2.70758
